"ISBN","Book-Title","Book-Author","Year-Of-Publication","Publisher","Image-URL-L","category","Price","Description"
"771074670","Nights Below Station Street","David Adams Richards","1988","Emblem Editions","http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg","health","10.96478621","b'Nights Below Station Street is a novel written by Canadian author, David Adams Richards. The novel was first published in 1988 and is set in a small town in rural New Brunswick, Canada, in the mid-20th century.\n\nThe novel follows the lives of a large cast of characters, including the Gagnon family, who live in poverty in a small house on Station Street. The novel explores themes such as family dynamics, social class, and the struggle to find meaning and purpose in life.\n\nOne of the key themes of the novel is the tension between tradition and modernity. The Gagnon family represents the traditional way of life in the town, with their poverty, hard work, and adherence to Catholicism. Other characters in the novel, such as the ambitious young teacher, Lydia, represent the modern world, with its emphasis on education, career advancement, and personal freedom.\n\nThe novel is characterized by its vivid descriptions of the town and its inhabitants, as well as its rich characterizations of the various members of the Gagnon family. The novel is also notable for its use of local dialect and slang, which adds to the authenticity of the setting and characters.\n\nNights Below Station Street has been widely praised for its poetic language, its nuanced exploration of the lives of its characters, and its insightful commentary on the social and cultural dynamics of small-town life. The novel has become a classic of Canadian literature and remains a popular choice for readers interested in stories that explore the complexities of human experience.'"
"80652121X","Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust","Adam Lebor","2000","Citadel Press","http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg","fiction","23.2722687","b""Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust is a non-fiction book written by Swiss journalist, Jacques Pauwels. The book was first published in 1997 and provides a critical analysis of Switzerland's role during World War II, particularly its banking and financial ties to Nazi Germany.\n\nPauwels challenges the commonly-held notion of Swiss neutrality during the war, arguing that Switzerland was complicit in Nazi war crimes through its financial support of the German war machine. He documents the extensive banking and financial relationships between Swiss banks and German companies, as well as the Swiss government's cooperation with Nazi efforts to plunder the wealth of Europe's Jewish population.\n\nThe book also explores the political and economic context in which these events took place, including the Swiss government's fears of a German invasion, and the role of Swiss bankers and politicians in shaping the country's wartime policies.\n\nOne of the key themes of the book is the tension between Swiss neutrality and Swiss profit. Pauwels argues that the Swiss government and business leaders placed a higher priority on maintaining Switzerland's economic prosperity than on the humanitarian concerns of the war.\n\nHitler's Secret Bankers has been praised for its thorough research, persuasive arguments, and its challenge to the traditional narrative of Swiss neutrality during World War II. The book has been controversial in Switzerland and has sparked debate about the country's role in the Holocaust and the extent of its complicity in Nazi war crimes."""
"887841740","The Middle Stories","Sheila Heti","2004","House of Anansi Press","http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg","science","5.828614566","b""The Middle Stories is a collection of short stories written by American author, Sheila Heti. The book was first published in 2002 and features 27 stories that explore a range of themes, including love, loss, identity, and the nature of storytelling.\n\nThe stories in the collection are marked by their playful, experimental style, with a focus on unconventional narrative structures and perspectives. Many of the stories feature unusual narrators, such as a talking plant or a disembodied voice, and employ surreal or dreamlike imagery to convey their meaning.\n\nOne of the key themes of the collection is the relationship between storytelling and reality. Heti's stories often blur the line between fiction and reality, challenging readers to consider the ways in which we construct and interpret the narratives that shape our lives.\n\nThe Middle Stories has been widely praised for its innovative style, its whimsical humor, and its exploration of the complexities of human experience. The book has been compared favorably to the work of writers such as George Saunders and Lydia Davis, and remains a popular choice for readers who appreciate literary fiction that pushes the boundaries of traditional storytelling."""
"1552041778","Jane Doe","R. J. Kaiser","1999","Mira Books","http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg","novel","14.47578733","b'""Jane Doe"" is a mystery novel written by American author, Victoria Helen Stone. The novel was first published in 2018 and follows the story of Jane, a sociopathic woman who becomes obsessed with seeking revenge against her former best friend, Meg, who she believes ruined her life.\n\nThe novel is narrated from Jane\'s perspective, and her lack of empathy and conscience makes her a compelling and chilling protagonist. Jane uses her intelligence and cunning to manipulate those around her and exact her revenge on Meg, who she believes is responsible for her failed career and romantic relationships.\n\nOne of the key themes of the novel is the destructive power of obsession and revenge. Jane\'s relentless pursuit of vengeance ultimately leads her down a dangerous and deadly path, as she becomes increasingly isolated and detached from the people around her.\n\nThe novel has been praised for its engaging writing style, its gripping plot, and its nuanced portrayal of a sociopathic protagonist. The book has been compared favorably to other works in the psychological thriller genre, such as Gillian Flynn\'s ""Gone Girl"" and Paula Hawkins\' ""The Girl on the Train"".'"
"1558746218","A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series)","Jack Canfield","1998","Health Communications","http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg","novel","15.93492839","b'""A Second Chicken Soup for the Woman\'s Soul"" is a collection of inspirational stories and poems edited by American authors, Jack Canfield, Mark Victor Hansen, Jennifer Read Hawthorne, and Marci Shimoff. The book was first published in 1998 and is part of the popular ""Chicken Soup for the Soul"" series.\n\nThe book features stories and poems from women of all ages and backgrounds, sharing their experiences of love, loss, courage, and personal growth. The stories are arranged thematically, with chapters focusing on topics such as motherhood, relationships, health and wellness, and finding inner strength.\n\nThe book is designed to provide comfort, inspiration, and a sense of connection to women who may be facing difficult challenges or transitions in their lives. The stories are written in an accessible and heartfelt style, and are meant to offer readers a sense of hope and encouragement.\n\nOne of the key themes of the book is the power of community and the importance of support networks. Many of the stories in the collection emphasize the value of friendships, family, and other connections in helping women navigate the ups and downs of life.\n\n""A Second Chicken Soup for the Woman\'s Soul"" has been widely read and appreciated by women of all ages and backgrounds. The book has been praised for its uplifting and relatable content, and for its ability to inspire readers to find strength and resilience in the face of adversity.\n\n'"
"1567407781","The Witchfinder (Amos Walker Mystery Series)","Loren D. Estleman","1998","Brilliance Audio - Trade","http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg","fiction","13.55162959","b'""The Witchfinder"" is a mystery novel written by American author, Loren D. Estleman. The novel was first published in 1998 and is part of the Amos Walker Mystery Series, which features the eponymous private detective as the protagonist.\n\nIn ""The Witchfinder,"" Walker is hired by a wealthy and eccentric businessman to investigate the disappearance of his daughter, who has become involved with a cult-like group called the Church of the Covenant. As Walker delves deeper into the case, he discovers that the Church is headed by a charismatic and dangerous leader known as the Witchfinder, who uses fear and intimidation to control his followers.\n\nThe novel is set in Detroit, Michigan, and explores themes such as corruption, power, and the nature of religious fanaticism. Estleman\'s writing style is gritty and noirish, with a focus on realistic dialogue and hard-boiled action.\n\nOne of the key themes of the novel is the tension between freedom and control, as represented by the Church of the Covenant and its charismatic leader. The novel also raises questions about the nature of faith and the dangers of blindly following a charismatic leader.\n\n""The Witchfinder"" has been praised for its engaging plot, its vivid depictions of Detroit\'s seedy underbelly, and its compelling characterizations of the various members of the Church of the Covenant. The novel has been compared favorably to other works in the hard-boiled detective genre, such as Raymond Chandler\'s ""The Big Sleep"" and Dashiell Hammett\'s ""The Maltese Falcon.""\n\n'"
"1575663937","More Cunning Than Man: A Social History of Rats and Man","Robert Hendrickson","1999","Kensington Publishing Corp.","http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg","society","6.1621859","b'""More Cunning Than Man: A Social History of Rats and Man"" is a non-fiction book written by American historian, Robert Hendrickson. The book was first published in 1982 and provides an in-depth exploration of the history and cultural significance of rats in human society.\n\nThe book covers a wide range of topics related to rats, including their role in human history, their use in scientific research, and their representation in art and literature. Hendrickson also explores the ways in which rats have been viewed and treated by different cultures throughout history, from the ancient Egyptians, who worshipped rats as sacred animals, to the modern world, where rats are often reviled and persecuted.\n\nOne of the key themes of the book is the complex and often contradictory relationship between rats and humans. While rats have long been seen as pests and carriers of disease, they have also been valued for their intelligence, adaptability, and resilience. Hendrickson argues that the relationship between rats and humans is a reflection of our own attitudes towards the natural world and our place within it.\n\n""More Cunning Than Man"" has been praised for its engaging writing style, thorough research, and its insight into the ways in which human society has been shaped by our interactions with other species. The book has been influential in the field of animal studies and has sparked debate about the ethical and moral implications of our treatment of rats and other animals.'"
"1881320189","Goodbye to the Buttermilk Sky","Julia Oliver","1994","River City Pub","http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg","fiction","8.020001606","b""Goodbye to the Buttermilk Sky is a novel written by Julia Oliver about a young girl named Caroline who is sent to live with her aunt in Alabama during the Great Depression. Through her experiences, Caroline learns about family, love, and the hardships of life during a difficult time in American history. The story is filled with vivid descriptions of the rural South and the people who inhabit it, as well as a sense of hope and resilience in the face of adversity. Oliver's writing captures the spirit of the time and provides an intimate portrait of a young girl's coming of age in a challenging period."""
"440234743","The Testament","John Grisham","1999","Dell","http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg","novel","12.27964341","b'""The Testament"" is a legal thriller novel written by John Grisham. It tells the story of a wealthy businessman named Troy Phelan who commits suicide, leaving behind a handwritten will that disinherits his six children in favor of a previously unknown illegitimate daughter, Rachel Lane. Nate O\'Riley, a troubled and alcoholic attorney, is dispatched to Brazil to find Rachel and make her an offer to settle the case out of court. However, things get complicated when Nate discovers that Rachel is living in a remote and primitive tribe in the Pantanal and doesn\'t want any money. As Nate gets to know Rachel and the tribe, he begins to question his own life and values, and ultimately has to make a difficult decision about the fate of Troy Phelan\'s estate.'"
"452264464","Beloved (Plume Contemporary Fiction)","Toni Morrison","1994","Plume","http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg","health","14.45533312","b""Beloved by Toni Morrison is a novel set in the post-Civil War era, which tells the story of Sethe, a former slave who escapes from slavery and lives in Ohio with her daughter Denver. The novel explores themes such as slavery, freedom, motherhood, and memory through the perspectives of Sethe, Denver, and the ghost of Sethe's deceased baby daughter. The novel has won numerous awards, including the Pulitzer Prize for Fiction, and has been widely praised for its powerful portrayal of the psychological trauma of slavery and its lasting impact on African American families. Morrison's poetic writing style and ability to create vivid, complex characters make Beloved a must-read for anyone interested in African American literature or the history of slavery in America.\n\n\n\n"""
"609804618","Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source","The Onion","1999","Three Rivers Press","http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg","fiction","6.10829241","b'""Our Dumb Century"" is a humorous book that parodies the newspaper industry by presenting fictional news headlines from the past 100 years. Published by the satirical newspaper The Onion, the book takes a lighthearted approach to historical events and social issues, often poking fun at politicians, celebrities, and cultural trends. Through its witty headlines and clever writing, ""Our Dumb Century"" offers a unique perspective on American history and culture that is both entertaining and thought-provoking.\n\n'"
"1841721522","New Vegetarian: Bold and Beautiful Recipes for Every Occasion","Celia Brooks Brown","2001","Ryland Peters &amp; Small Ltd","http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg","health","21.41242189","b'New Vegetarian: Bold and Beautiful Recipes for Every Occasion is a cookbook that features vegetarian recipes for all occasions, from appetizers and main dishes to desserts and drinks. The book is designed to provide inspiration for those who are new to vegetarian cooking or looking to expand their recipe repertoire. The recipes are creative and diverse, ranging from classic comfort foods to exotic dishes from around the world. The book also includes tips on ingredient selection, cooking techniques, and how to stock a vegetarian pantry. With its vibrant photographs and easy-to-follow recipes, New Vegetarian is a must-have for anyone looking to add more plant-based meals to their diet.'"
"1879384493","If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself","J. R. Parrish","2003","Cypress House","http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg","science","19.45452068","b'""If I\'d Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can\'t Afford to Make Them All Yourself"" is a non-fiction book by Sarah Berry, which offers practical advice and wisdom to readers who want to avoid making common mistakes in life. Through personal anecdotes, research, and interviews with experts, the author provides insights into topics such as career, relationships, health, and finance. The book encourages readers to take responsibility for their own lives and make informed decisions, while also reminding them that mistakes are inevitable and can be valuable learning experiences.'"
"61076031","Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in)","Mary-Kate &amp; Ashley Olsen","2000","HarperEntertainment","http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg","science","17.26744718","b'""Mary-Kate & Ashley Switching Goals"" is a young adult novel featuring the popular twins Mary-Kate and Ashley Olsen. In this story, the twins play soccer for different teams and decide to switch places in order to help their teams win. Along the way, they learn valuable lessons about teamwork, friendship, and the importance of being true to oneself. This fun and engaging novel is perfect for young readers who enjoy sports and are looking for an entertaining read with a positive message.'"
"439095026","Tell Me This Isn't Happening","Robynn Clairday","1999","Scholastic","http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg","health","22.11156032","b'""Tell Me This Isn\'t Happening"" is a memoir by the comedian and actor Josh Harris, which details his experiences and misadventures in Hollywood. The book covers his struggles as a struggling actor and stand-up comedian, as well as his encounters with celebrities and industry insiders. Harris recounts his experiences auditioning for roles, navigating the entertainment industry\'s politics, and trying to maintain his sanity amidst the chaos. He also shares personal anecdotes and reflections on his life and career, providing a humorous and insightful look into the world of show business.'"
"689821166","Flood : Mississippi 1927","Kathleen Duey","1998","Aladdin","http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg","fiction","22.42773055","b'""Flood: Mississippi 1927"" is a historical account of one of the worst natural disasters in American history. In the spring of 1927, heavy rains caused the Mississippi River to flood, inundating over 27,000 square miles and displacing hundreds of thousands of people. The book follows the experiences of those caught in the disaster, including African-American sharecroppers who were forced to work on levees to save white-owned property, and the political and social consequences of the flood. The author, John M. Barry, provides a detailed and vivid account of the disaster and its aftermath, as well as its impact on American society and politics.'"
"971880107","Wild Animus","Rich Shapero","2004","Too Far","http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg","novel","13.55409672","b'Wild Animus is a novel by Rich Shapero that tells the story of a young man named Sam who becomes obsessed with living in harmony with nature and sets out on a dangerous journey to the wilds of Alaska. Along the way, he experiences various forms of transcendence, including encounters with a woman named Sharon and a mysterious creature known as the Wild Animus. The novel explores themes of nature, spirituality, and the human desire for freedom and self-discovery. It has been both praised for its poetic language and criticized for its uneven pacing and questionable treatment of women.'"
"345402871","Airframe","Michael Crichton","1997","Ballantine Books","http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg","health","10.30382084","b""Airframe is a novel written by Michael Crichton, an American author and filmmaker. The story follows Casey Singleton, a quality assurance vice president of a fictional aerospace manufacturer, Norton Aircraft. After one of the company's planes suffers a mid-air incident that results in three deaths, Casey is assigned to investigate the cause and manage the subsequent public relations fallout. As she delves deeper into the investigation, she uncovers a complex web of corporate politics, greed, and cover-ups that threaten to undermine her efforts to uncover the truth. The novel is a thrilling page-turner that combines technical details of the aviation industry with a gripping plot that keeps readers on the edge of their seats.\n\n"""
"345417623","Timeline","MICHAEL CRICHTON","2000","Ballantine Books","http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg","fiction","24.97064928","b'In Michael Crichton\'s ""Timeline,"" a team of archaeologists and historians travel back in time to medieval France to rescue their colleague who was stranded there. The team finds themselves caught up in a dangerous world of knights, castles, and political intrigue as they race against time to save their friend and return to their own era. With vivid descriptions of life in the 14th century and thrilling action sequences, ""Timeline"" is a gripping adventure novel that will keep readers on the edge of their seats.'"
"684823802","OUT OF THE SILENT PLANET","C.S. Lewis","1996","Scribner","http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg","science","10.27812055","b'""Out of the Silent Planet"" is a science fiction novel by C.S. Lewis. It tells the story of a philologist named Dr. Elwin Ransom who is kidnapped and taken to the planet Malacandra, also known as Mars. Once there, he discovers a world that is entirely different from Earth, with strange creatures and cultures. As he learns more about Malacandra and its inhabitants, he also discovers a dark plot by humans from Earth to exploit and enslave the planet. The novel explores themes of morality, colonialism, and the search for meaning in the universe. It is the first book in Lewis\'s Space Trilogy, which also includes ""Perelandra"" and ""That Hideous Strength.""'"
"375759778","Prague : A Novel","ARTHUR PHILLIPS","2003","Random House Trade Paperbacks","http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg","novel","14.52803054","b'""Prague: A Novel"" is a book by Arthur Phillips that tells the story of five young Americans who move to Prague in the early 1990s, after the fall of communism. It is a coming-of-age tale about the young expatriates trying to find their way in a new and unfamiliar city, dealing with cultural differences, love, sex, and the challenges of growing up. The novel explores the themes of identity, belonging, and the search for meaning in a post-Cold War world. It is a witty, insightful, and humorous book that captures the spirit of the time and place, and is sure to delight readers who enjoy literary fiction and travel literature.\n\n'"
"425163091","Chocolate Jesus","Stephan Jaramillo","1998","Berkley Publishing Group","http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg","society","23.86703472","b'""Chocolate Jesus"" is a novel by Stephen J. Parks that explores the complicated relationship between religion and society in contemporary America. The story follows a group of people living in a small town in Wisconsin who become embroiled in controversy when a local artist creates a sculpture of Jesus made entirely out of chocolate. The sculpture is meant to be a commentary on the commercialization of religion, but it quickly becomes a lightning rod for a variety of different issues, from free speech to the role of art in society. Through the perspectives of various characters, the novel explores the intersection of faith, morality, and politics in modern America, ultimately asking whether it\'s possible to find common ground in a divided society.\n\n'"
"3404921038","Wie Barney es sieht.","Mordecai Richler","2002","L????bbe","http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg","science","23.43897635","b'""Wie Barney es sieht"" is a German novel by Mordecai Richler, published in English as ""Barney\'s Version."" It is a humorous and poignant story of Barney Panofsky, a television producer and writer, who reflects on his life and loves as he deals with the onset of Alzheimer\'s disease. The novel is a captivating and bittersweet tale of love, loss, and the search for meaning in life. It is a witty and charming account of the human condition, with an endearing protagonist who manages to both charm and exasperate the reader.'"
